DEBUG:pygls.protocol:Added decorator for lsp method: bf_initialize
INFO:root:building module test_protocols from file.
INFO:root:building module test_records from file.
INFO:root:building module test_regression from file.
INFO:root:building module test_scalar_ctors from file.
INFO:root:building module test_scalar_methods from file.
INFO:root:building module test_scalarbuffer from file.
INFO:root:building module test_scalarinherit from file.
INFO:root:building module test_scalarmath from file.
INFO:root:building module test_scalarprint from file.
INFO:root:building module test_shape_base from file.
INFO:root:building module test_ufunc from file.
INFO:root:building module test_umath from file.
INFO:root:building module test_umath_accuracy from file.
INFO:root:building module test_umath_complex from file.
INFO:root:building module test_unicode from file.
INFO:root:building module __config__ from file.
INFO:root:building module __init__ from file.
INFO:root:building module _shell_utils from file.
INFO:root:building module ccompiler from file.
INFO:root:building module conv_template from file.
INFO:root:building module core from file.
INFO:root:building module cpuinfo from file.
INFO:root:building module exec_command from file.
INFO:root:building module extension from file.
INFO:root:building module from_template from file.
INFO:root:building module intelccompiler from file.
INFO:root:building module lib2def from file.
INFO:root:building module line_endings from file.
INFO:root:building module log from file.
INFO:root:building module mingw32ccompiler from file.
INFO:root:building module misc_util from file.
INFO:root:building module msvc9compiler from file.
INFO:root:building module msvccompiler from file.
INFO:root:building module npy_pkg_config from file.
INFO:root:building module numpy_distribution from file.
INFO:root:building module pathccompiler from file.
INFO:root:building module setup from file.
INFO:root:building module system_info from file.
INFO:root:building module unixccompiler from file.
INFO:root:building module __init__ from file.
INFO:root:building module autodist from file.
INFO:root:building module bdist_rpm from file.
INFO:root:building module build from file.
INFO:root:building module build_clib from file.
INFO:root:building module build_ext from file.
INFO:root:building module build_py from file.
INFO:root:building module build_scripts from file.
INFO:root:building module build_src from file.
INFO:root:building module config from file.
INFO:root:building module config_compiler from file.
INFO:root:building module develop from file.
INFO:root:building module egg_info from file.
INFO:root:building module install from file.
INFO:root:building module install_clib from file.
INFO:root:building module install_data from file.
INFO:root:building module install_headers from file.
INFO:root:building module sdist from file.
INFO:root:building module __init__ from file.
INFO:root:building module absoft from file.
INFO:root:building module compaq from file.
INFO:root:building module environment from file.
INFO:root:building module g95 from file.
INFO:root:building module gnu from file.
INFO:root:building module hpux from file.
INFO:root:building module ibm from file.
INFO:root:building module intel from file.
INFO:root:building module lahey from file.
INFO:root:building module mips from file.
INFO:root:building module nag from file.
INFO:root:building module none from file.
INFO:root:building module nv from file.
INFO:root:building module pathf95 from file.
INFO:root:building module pg from file.
INFO:root:building module sun from file.
INFO:root:building module vast from file.
INFO:root:building module __init__ from file.
INFO:root:building module test_exec_command from file.
INFO:root:building module test_fcompiler from file.
INFO:root:building module test_fcompiler_gnu from file.
INFO:root:building module test_fcompiler_intel from file.
INFO:root:building module test_fcompiler_nagfor from file.
INFO:root:building module test_from_template from file.
INFO:root:building module test_mingw32ccompiler from file.
INFO:root:building module test_misc_util from file.
INFO:root:building module test_npy_pkg_config from file.
INFO:root:building module test_shell_utils from file.
INFO:root:building module test_system_info from file.
INFO:root:building module __init__ from file.
INFO:root:building module basics from file.
INFO:root:building module broadcasting from file.
INFO:root:building module byteswapping from file.
INFO:root:building module constants from file.
INFO:root:building module creation from file.
INFO:root:building module dispatch from file.
INFO:root:building module glossary from file.
INFO:root:building module indexing from file.
INFO:root:building module internals from file.
